source_id,address,price,beds,type,status,url
"47L3wUS4YiR","45 Meeting Ln, Hicksville, NY 11801","1549000","5","Single Family Residence","Active","https://onekeymls.com/home-details/45-meeting-ln-hicksville-ny-11801/47L3wUS4YiR"
"8KnM0NppiE9","16 Violet Ave, Hicksville, NY 11801","1698000","5","Single Family Residence","Active","https://onekeymls.com/home-details/16-violet-ave-hicksville-ny-11801/8KnM0NppiE9"
"4PWFZPF0Xo6","35 Meeting Ln, Hicksville, NY 11801","699500","4","Single Family Residence","Active","https://onekeymls.com/home-details/35-meeting-ln-hicksville-ny-11801/4PWFZPF0Xo6"
"6vYYhsWyyD7","82 Lantern Rd, Hicksville, NY 11801","759000","4","Single Family Residence","Active","https://onekeymls.com/home-details/82-lantern-rd-hicksville-ny-11801/6vYYhsWyyD7"
"lPIMJelUqqR","14 Larch St, Hicksville, NY 11801","789000","3","Single Family Residence","Active","https://onekeymls.com/home-details/14-larch-st-hicksville-ny-11801/lPIMJelUqqR"
"G0qZKw9Tp7","12 Hilton Ct, Hicksville, NY 11801","848888","4","Single Family Residence","Active","https://onekeymls.com/home-details/12-hilton-ct-hicksville-ny-11801/G0qZKw9Tp7"
"lqX6OyrB8il","75 Linden Blvd, Hicksville, NY 11801","850000","3","Single Family Residence","Active","https://onekeymls.com/home-details/75-linden-blvd-hicksville-ny-11801/lqX6OyrB8il"
"7Wlj43dYWjD","62 Wellesley Ln, Hicksville, NY 11801","799999","4","Single Family Residence","Active","https://onekeymls.com/home-details/62-wellesley-ln-hicksville-ny-11801/7Wlj43dYWjD"
"jTVxCFvAhMc","12 Link Ln, Hicksville, NY 11801","865000","5","Single Family Residence","Active","https://onekeymls.com/home-details/12-link-ln-hicksville-ny-11801/jTVxCFvAhMc"
"aJJRarcKzWL","27 Grape Ln, Hicksville, NY 11801","1688000","5","Single Family Residence","Active","https://onekeymls.com/home-details/27-grape-ln-hicksville-ny-11801/aJJRarcKzWL"
"71uJB6Hn1Hn","4 Balsam Dr, Hicksville, NY 11801","1098888","4","Single Family Residence","Active","https://onekeymls.com/home-details/4-balsam-dr-hicksville-ny-11801/71uJB6Hn1Hn"
"eXonlujUz8x","7 Edward Ave, Hicksville, NY 11801","829000","4","Single Family Residence","Active","https://onekeymls.com/home-details/7-edward-ave-hicksville-ny-11801/eXonlujUz8x"
"83OGP0Vgt6j","26 Berry Ln, Hicksville, NY 11801","809999","4","Single Family Residence","Active","https://onekeymls.com/home-details/26-berry-ln-hicksville-ny-11801/83OGP0Vgt6j"
"f9M9eSGFdjm","118 W Cherry St, Hicksville, NY 11801","1628000","5","Single Family Residence","Active","https://onekeymls.com/home-details/118-w-cherry-st-hicksville-ny-11801/f9M9eSGFdjm"
"2xvPZjTsjd9","11 Verbena Ct, Hicksville, NY 11801","989999","3","Single Family Residence","Active","https://onekeymls.com/home-details/11-verbena-ct-hicksville-ny-11801/2xvPZjTsjd9"
"gDpBsGxxhef","20 Howard St, Hicksville, NY 11801","899000","4","Single Family Residence","Active","https://onekeymls.com/home-details/20-howard-st-hicksville-ny-11801/gDpBsGxxhef"
"ji3BPM7T4iF","14 Westmoreland Rd, Hicksville, NY 11801","859000","3","Single Family Residence","Active","https://onekeymls.com/home-details/14-westmoreland-rd-hicksville-ny-11801/ji3BPM7T4iF"
"iIWtsM2YNnj","89 West Ave, Hicksville, NY 11801","1729999","5","Single Family Residence","Active","https://onekeymls.com/home-details/89-west-ave-hicksville-ny-11801/iIWtsM2YNnj"
"8g5AcOIZbIz","30 Andover Ln, Hicksville, NY 11801","1040888","4","Single Family Residence","Active","https://onekeymls.com/home-details/30-andover-ln-hicksville-ny-11801/8g5AcOIZbIz"
"6wOeSiU3cKL","15 Farm Ln, Hicksville, NY 11801","888000","4","Single Family Residence","Active","https://onekeymls.com/home-details/15-farm-ln-hicksville-ny-11801/6wOeSiU3cKL"
"hEO38gGnSuO","71 6th St, Hicksville, NY 11801","775000","3","Single Family Residence","Active","https://onekeymls.com/home-details/71-6th-st-hicksville-ny-11801/hEO38gGnSuO"
"lPsEML1rt7g","10 York St, Hicksville, NY 11801","899999","4","Single Family Residence","Active","https://onekeymls.com/home-details/10-york-st-hicksville-ny-11801/lPsEML1rt7g"
"7XrsxFvLCcU","2 Briggs St, Hicksville, NY 11801","839000","4","Single Family Residence","Active","https://onekeymls.com/home-details/2-briggs-st-hicksville-ny-11801/7XrsxFvLCcU"
"9h2jSwiVDwD","31 Libby Ave, Hicksville, NY 11801","1348888","5","Single Family Residence","Active","https://onekeymls.com/home-details/31-libby-ave-hicksville-ny-11801/9h2jSwiVDwD"
"apsXBJernZG","7 Crown St, Hicksville, NY 11801","779000","3","Single Family Residence","Active","https://onekeymls.com/home-details/7-crown-st-hicksville-ny-11801/apsXBJernZG"
"dx3cAdbtBvY","21 Linden Blvd, Hicksville, NY 11801","999000","6","Single Family Residence","Pending","https://onekeymls.com/home-details/21-linden-blvd-hicksville-ny-11801/dx3cAdbtBvY"
"anSv9w5mWhd","42 Crescent St, Hicksville, NY 11801","769999","3","Single Family Residence","Pending","https://onekeymls.com/home-details/42-crescent-st-hicksville-ny-11801/anSv9w5mWhd"
"aGk4BA7MWJX","107 Nevada St, Hicksville, NY 11801","718500","3","Single Family Residence","Pending","https://onekeymls.com/home-details/107-nevada-st-hicksville-ny-11801/aGk4BA7MWJX"
"l39HCuU0F05","48 Flower St, Hicksville, NY 11801","869000","4","Single Family Residence","Active","https://onekeymls.com/home-details/48-flower-st-hicksville-ny-11801/l39HCuU0F05"
"5RArCOKufiU","13 Gerald Ave, Hicksville, NY 11801","699999","4","Single Family Residence","Pending","https://onekeymls.com/home-details/13-gerald-ave-hicksville-ny-11801/5RArCOKufiU"
"f0hmeACNtQO","382 Old Country Rd, Mineola, NY 11501","919000","4","Single Family Residence","Active","https://onekeymls.com/home-details/382-old-country-rd-mineola-ny-11501/f0hmeACNtQO"
"aDctt2x6kLt","425 Marcellus Rd, Mineola, NY 11501","885000","4","Single Family Residence","Active","https://onekeymls.com/home-details/425-marcellus-rd-mineola-ny-11501/aDctt2x6kLt"
"bMEtfzpRhxu","190 Albertson Pl, Mineola, NY 11501","819999","3","Single Family Residence","Active","https://onekeymls.com/home-details/190-albertson-pl-mineola-ny-11501/bMEtfzpRhxu"
"6WgCBE8qOsg","494 Sally Rd, Mineola, NY 11501","749999","3","Single Family Residence","Active","https://onekeymls.com/home-details/494-sally-rd-mineola-ny-11501/6WgCBE8qOsg"
"lQGZWlGYwie","100 Clinton Ave Unit 4N, Mineola, NY 11501","335000","1","Stock Cooperative","Coming Soon","https://onekeymls.com/home-details/100-clinton-ave-unit-4n-mineola-ny-11501/lQGZWlGYwie"
"iqn2NlboKfL","469 Andrews Rd, Mineola, NY 11501","1725000","5","Single Family Residence","Pending","https://onekeymls.com/home-details/469-andrews-rd-mineola-ny-11501/iqn2NlboKfL"
